Carpark Number,Carpark Type,Type of Parking System,Address
HG36,SURFACE CAR PARK,ELECTRONIC PARKING,"BLK 703-706,711-712 HOUGANG AVENUE 2"
HG37,SURFACE CAR PARK,ELECTRONIC PARKING,BLKS 501-507 HOUGANG AVENUE 8
HG38,SURFACE CAR PARK,ELECTRONIC PARKING,"BLK 508-517,520-533 HOUGANG AVENUE 10"
HG39,SURFACE CAR PARK,ELECTRONIC PARKING,HOUGANG SPORTS COMPLEX
HG4,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 19-23 HOUGANG AVENUE 3
HG40,SURFACE CAR PARK,COUPON PARKING,"BLK 1 TO 32, 37 TO 38 DEFU LANE 10"
HG41,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 633-642 & 647-648 HOUGANG AVENUE 8
HG42,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 643-646/649-662/665-667 HOUGANG AVENUE 8
HG43,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 668-680 HOUGANG AVENUE 8
HG44,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 681-684 HOUGANG AVENUE 4/8
HG45,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 685-691 HOUGANG STREET 61
HG46,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 692-698 HOUGANG STREET 61
HG47,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 805 HOUGANG CENTRAL
HG48,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 417-434 HOUGANG AVENUE 6/8/10
HG49,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 435-458 HOUGANG AVENUE 6/8
HG5,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 24/25 HOUGANG AVENUE 3
HG50,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 534-545 HOUGANG AVENUE 8
HG51,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 546-555 HOUGANG STREET 51
HG52,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 556-566 HOUGANG STREET 51
HG53,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 830A HOUGANG CENTRAL
HG54,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 220-222 HOUGANG STREET 21
HG55,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 814 HOUGANG AVENUE 10
HG56,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 830-835 HOUGANG CENTRAL
HG57,SURFACE CAR PARK,COUPON PARKING,DEFU LANE 7
